Time,Permanent Servers,Hardcore
20-5-2020T00:00,2038.34,0
21-5-2020T00:00,2220.59,0
22-5-2020T00:00,2435.26,0
23-5-2020T00:00,2824.91,0
24-5-2020T00:00,2926.68,0
25-5-2020T00:00,2705.66,0
26-5-2020T00:00,2192.97,0
27-5-2020T00:00,1902.12,0
28-5-2020T00:00,2152.56,0
29-5-2020T00:00,2293.69,0
30-5-2020T00:00,2707.69,0
31-5-2020T00:00,2823.96,0
1-6-2020T00:00,2174.71,0
2-6-2020T00:00,2056.24,0
3-6-2020T00:00,1888.62,0
4-6-2020T00:00,2234.62,0
5-6-2020T00:00,2392.85,0
6-6-2020T00:00,2912.13,0
7-6-2020T00:00,2938.94,0
8-6-2020T00:00,2324.02,0
9-6-2020T00:00,2015.37,0
10-6-2020T00:00,2290.33,0
11-6-2020T00:01,2275.84,0
12-6-2020T00:02,2154.64,0
13-6-2020T00:03,2794.23,0
14-6-2020T00:04,2820.65,0
15-6-2020T00:05,2215.71,0
16-6-2020T00:06,2211.76,0
17-6-2020T00:00,2013.93,0
18-6-2020T00:00,2137.11,0
19-6-2020T00:00,2261.7,0
20-6-2020T00:00,2653.55,0
21-6-2020T00:00,2689.42,0
22-6-2020T00:00,2185.61,0
23-6-2020T00:00,1876.09,0
24-6-2020T00:00,1911.23,708.83
25-6-2020T00:00,1763.62,536.43
26-6-2020T00:00,1880.21,551.51
27-6-2020T00:00,2270.91,624.02
28-6-2020T00:00,2344.09,622.18
29-6-2020T00:00,1844.11,503.65
30-6-2020T00:00,1531.47,481
1-7-2020T00:00,1767.24,490.6
2-7-2020T00:00,1816.86,488.03
3-7-2020T00:00,2042.82,520.15
4-7-2020T00:00,2146.92,533.66
5-7-2020T00:00,2274.49,536.15
6-7-2020T00:00,1805.07,445.47
7-7-2020T00:00,1781.65,422.49
8-7-2020T00:00,1611.6,394.29
9-7-2020T00:00,1729.95,404.79
10-7-2020T00:00,1850.81,417.03
11-7-2020T00:00,2219.59,470.66
12-7-2020T00:00,2236.03,478.92
13-7-2020T00:00,1765.53,393.09
14-7-2020T00:00,1764.05,370.81
15-7-2020T00:00,1437.92,300.72
16-7-2020T00:00,1071.7,316.57
17-7-2020T00:00,1741,315.85
18-7-2020T00:00,1907.95,362.06
19-7-2020T00:00,2200.51,354.87
20-7-2020T00:00,1460.05,218.59
21-7-2020T00:00,1597.09,241.8
22-7-2020T00:00,1667.46,244.78
23-7-2020T00:00,1688.28,251.17
24-7-2020T00:00,1842.2,290.31
25-7-2020T00:00,2193.91,344.79
26-7-2020T00:00,2265.69,351.72
27-7-2020T00:00,1806.49,285.36
28-7-2020T00:00,1775.64,277.44
29-7-2020T00:00,1683.98,257.54
30-7-2020T00:00,1772.71,269.24
31-7-2020T00:00,1837.4,278.04
1-8-2020T00:00,2127.13,328.08
2-8-2020T00:00,2245.31,325.86
3-8-2020T00:00,1762.02,266.41
4-8-2020T00:00,1497.5,283.92
5-8-2020T00:00,837.17,316.59
6-8-2020T00:00,1309.38,260.14
7-8-2020T00:00,1696.01,247.27
8-8-2020T00:00,2206.6,292.32
9-8-2020T00:00,2249.41,283.5
10-8-2020T00:00,1786.19,224.98
11-8-2020T00:00,1757.66,193.84
12-8-2020T00:00,1543.43,202.29
13-8-2020T00:00,1421.38,232.2
14-8-2020T00:00,1660.05,214.16
15-8-2020T00:00,2202.75,252.09
16-8-2020T00:00,2284.61,246.2
17-8-2020T00:00,1783.58,200.39
18-8-2020T00:00,1776.39,199.08
19-8-2020T00:00,817.9,177.66
20-8-2020T00:00,1770.75,181.44
21-8-2020T00:00,1877.48,186.69
22-8-2020T00:00,2229.18,220.31
23-8-2020T00:00,2322.96,215.75
24-8-2020T00:00,1808.87,170.44
25-8-2020T00:00,1769.54,165.92
26-8-2020T00:00,1580.03,158.47
27-8-2020T00:00,1788.19,160.08
28-8-2020T00:00,1925.34,163.7
29-8-2020T00:00,2360.9,203.58
30-8-2020T00:00,2195.08,180.67
31-8-2020T00:00,1890.56,154.7
1-9-2020T00:00,1466.85,140.29
2-9-2020T00:00,1660.78,148.04
3-9-2020T00:00,1655.16,142.75
4-9-2020T00:00,1578.99,144.56
5-9-2020T00:00,2112.07,170
6-9-2020T00:00,2230.43,172.5
7-9-2020T00:00,2095.42,167.85
8-9-2020T00:00,1683.57,133.51
9-9-2020T00:00,1084.63,144.97
10-9-2020T00:00,1676.92,132.04
11-9-2020T00:00,1706.98,117.75
12-9-2020T00:00,2179.1,151.88
13-9-2020T00:00,2140.28,137.11
14-9-2020T00:00,1625.25,118.79
15-9-2020T00:00,1585.34,109.78
16-9-2020T00:00,1424.27,103.72
17-9-2020T00:00,1606.77,91.52
18-9-2020T00:00,1775.42,88.35
19-9-2020T00:00,2158.17,97.91
20-9-2020T00:00,2206.78,96.36
21-9-2020T00:00,1692.58,70.58
22-9-2020T00:00,1704.9,60.62
